+-------------------------------+---------+-------------+-----------+------------+----------+-----------+---------------------------------------------+
| Name                          | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                                       |
| fluorine                      |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_fluorine                 |
| fluorite_water                |    1000 |         300 |      1000 |          0 | COMMON   |     false | nuclearcraft:fluid_fluorite_water           |
| fuel                          |    1000 |         300 |      1000 |          0 | COMMON   |     false | pneumaticcraft:fluid.fuel                   |
| gasoline                      |     789 |         300 |      1200 |          0 | COMMON   |     false | immersivepetroleum:fluid_gasoline           |
| glowstone                     |    -500 |         300 |       100 |         15 | UNCOMMON |      true | thermalfoundation:fluid_glowstone           |
| gold                          |    2000 |         900 |      6000 |         15 | COMMON   |     false | embers:gold                                 |
| helium                        |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_helium                   |
| helium3                       |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_helium3                  |
| honey                         |    1000 |         300 |      1500 |          0 | COMMON   |     false | biomesoplenty:honey                         |
| hot_spring_water              |    1000 |         300 |      1000 |          0 | COMMON   |     false | biomesoplenty:hot_spring_water              |
| hydrofluoric_acid             |    1000 |         300 |      1000 |          0 | COMMON   |     false | nuclearcraft:fluid_hydrofluoric_acid        |
| hydrogen                      |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_hydrogen                 |
| iron                          |    2000 |         900 |      6000 |         15 | COMMON   |     false | embers:iron                                 |
| kerosene                      |    1000 |         300 |      1000 |          0 | COMMON   |     false | pneumaticcraft:fluid.kerosene               |
| lava                          |    3000 |        1300 |      6000 |         15 | COMMON   |     false | minecraft:lava                              |
| lead                          |    2000 |         900 |      6000 |         15 | COMMON   |     false | embers:lead                                 |
| lif                           |    5000 |        1000 |      5000 |         10 | COMMON   |     false | nuclearcraft:fluid_lif                      |
| liquidchorus                  |    1500 |         300 |      3000 |          0 | EPIC     |     false | integrateddynamics:block_liquid_chorus      |
| liquidhelium                  |     150 |           4 |         1 |          0 | COMMON   |     false | nuclearcraft:fluid_liquidhelium             |
| lithium6                      |    5000 |        1000 |      5000 |         10 | COMMON   |     false | nuclearcraft:fluid_lithium6                 |
| lithium7                      |    5000 |        1000 |      5000 |         10 | COMMON   |     false | nuclearcraft:fluid_lithium7                 |
| lpg                           |    1000 |         300 |      1000 |          0 | COMMON   |     false | pneumaticcraft:fluid.lpg                    |
| lubricant                     |     925 |         300 |      1000 |          0 | COMMON   |     false | immersivepetroleum:fluid_lubricant          |
| mana                          |     600 |         350 |      6000 |         15 | EPIC     |     false | thermalfoundation:fluid_mana                |
| menrilresin                   |    1500 |         300 |      3000 |          0 | RARE     |     false | integrateddynamics:block_menril_resin       |
| milk                          |    1000 |         320 |      1000 |          0 | COMMON   |     false | -                                           |
| mushroom_stew                 |    2000 |         300 |      2000 |          0 | COMMON   |     false | -                                           |
| neutron                       |   10000 |         300 |        40 |          7 | COMMON   |     false | nuclearcraft:fluid_neutron                  |
| nickel                        |    2000 |         900 |      6000 |         15 | COMMON   |     false | embers:nickel                               |
| nitrogen                      |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_nitrogen                 |
| oil                           |    1000 |         300 |      2250 |          0 | COMMON   |     false | immersivepetroleum:fluid_crude_oil          |
| oxygen                        |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_oxygen                   |
| oxygen_difluoride             |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_oxygen_difluoride        |
| petrotheum                    |    4000 |         350 |      1500 |          0 | RARE     |     false | thermalfoundation:fluid_petrotheum          |
| plantoil                      |     925 |         300 |      2000 |          0 | COMMON   |     false | immersiveengineering:fluidplantoil          |
| plasma                        |      50 |       10000 |       100 |         15 | COMMON   |     false | nuclearcraft:fluid_plasma                   |
| plastic                       |    1000 |         300 |      1000 |          0 | COMMON   |     false | pneumaticcraft:fluid.plastic                |
| poison                        |    1000 |         300 |      1000 |          0 | COMMON   |     false | biomesoplenty:poison                        |
| potion                        |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                           |
| potion_lingering              |     500 |         300 |      1500 |          3 | UNCOMMON |     false | -                                           |
| potion_splash                 |     500 |         300 |      1500 |          3 | UNCOMMON |     false | -                                           |
| pyrotheum                     |    2000 |        4000 |      1200 |         15 | RARE     |     false | thermalfoundation:fluid_pyrotheum           |
| radaway                       |    1000 |         300 |      1000 |          0 | COMMON   |     false | nuclearcraft:fluid_radaway                  |
| redstone                      |    1200 |         300 |      1500 |          7 | UNCOMMON |     false | thermalfoundation:fluid_redstone            |
| refined_fuel                  |     700 |         300 |       800 |          0 | COMMON   |     false | -                                           |
| refined_oil                   |     800 |         300 |      1400 |          0 | COMMON   |     false | -                                           |
| resin                         |     900 |         300 |      3000 |          0 | COMMON   |     false | -                                           |
| rocketfuel                    |    1000 |         300 |      1000 |          0 | COMMON   |     false | advancedrocketry:rocketfuel                 |
| sand                          |   50000 |         300 |     10000 |          0 | COMMON   |     false | biomesoplenty:sand                          |
| sap                           |    1050 |         300 |      1500 |          0 | COMMON   |     false | -                                           |
| silver                        |    2000 |         900 |      6000 |         15 | COMMON   |     false | embers:silver                               |
| steam                         |   -1000 |         750 |       200 |          0 | COMMON   |      true | advgenerators:steam                         |
| sulfur                        |    5000 |        1000 |      5000 |         10 | COMMON   |     false | nuclearcraft:fluid_sulfur                   |
| sulfur_dioxide                |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_sulfur_dioxide           |
| sulfur_trioxide               |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_sulfur_trioxide          |
| sulfuric_acid                 |    1000 |         300 |      1000 |          0 | COMMON   |     false | nuclearcraft:fluid_sulfuric_acid            |
| sulfurousacid                 |    1200 |         320 |      1500 |          0 | UNCOMMON |     false | zettaindustries:sulfurousacid               |
| syngas                        |     -10 |        1000 |      1000 |          0 | COMMON   |      true | advgenerators:syngas                        |
| syrup                         |    1400 |         300 |      2500 |          0 | COMMON   |     false | -                                           |
| tin                           |    2000 |         900 |      6000 |         15 | COMMON   |     false | embers:tin                                  |
| tree_oil                      |     900 |         300 |      1200 |          0 | COMMON   |     false | -                                           |
| tritium                       |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_tritium                  |
| water                         |    1000 |         300 |      1000 |          0 | COMMON   |     false | minecraft:water                             |
| xpjuice                       |     800 |         300 |      1500 |         10 | COMMON   |     false | -                                           |
+-------------------------------+---------+-------------+-----------+------------+----------+-----------+---------------------------------------------+
| Name                          | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                                       |
+-------------------------------+---------+-------------+-----------+------------+----------+-----------+---------------------------------------------+
