+-------------------------------------------------+----------+--------------------------------------------+-------------------------------------------------------------------------------------------+-----+
| Registry name                                   | Meta/dmg | Display name                               | Ore Dict Keys                                                                             | NBT |
| appliedenergistics2:material                    |        5 | Silicon                                    | itemSilicon                                                                               |     |
| appliedenergistics2:material                    |        7 | Fluix Crystal                              | crystalFluix                                                                              |     |
| appliedenergistics2:material                    |        8 | Fluix Dust                                 | dustFluix                                                                                 |     |
| appliedenergistics2:material                    |        9 | Fluix Pearl                                | pearlFluix                                                                                |     |
| appliedenergistics2:part                        |      160 | Bright Illuminated Panel                   | itemIlluminatedPanel                                                                      |     |
| appliedenergistics2:part                        |      180 | Illuminated Panel                          | itemIlluminatedPanel                                                                      |     |
| appliedenergistics2:part                        |      200 | Dark Illuminated Panel                     | itemIlluminatedPanel                                                                      |     |
| appliedenergistics2:quartz_ore                  |        0 | Certus Quartz Ore                          | oreCertusQuartz                                                                           |     |
| astralsorcery:blockcustomore                    |        1 | Starmetal Ore                              | oreAstralStarmetal                                                                        |     |
| astralsorcery:blockcustomsandore                |        0 | Aquamarine Shale                           | oreAquamarine                                                                             |     |
| astralsorcery:blockmarble                       |        0 | Marble                                     | blockMarble,stoneMarble                                                                   |     |
| astralsorcery:blockmarble                       |        1 | Marble Bricks                              | blockMarble,stoneMarble                                                                   |     |
| astralsorcery:blockmarble                       |        2 | Marble Pillar                              | blockMarble,stoneMarble                                                                   |     |
| astralsorcery:blockmarble                       |        3 | Marble Arch                                | blockMarble,stoneMarble                                                                   |     |
| astralsorcery:blockmarble                       |        4 | Chiseled Marble                            | blockMarble,stoneMarble                                                                   |     |
| astralsorcery:blockmarble                       |        5 | Engraved Marble                            | blockMarble,stoneMarble                                                                   |     |
| astralsorcery:blockmarble                       |        6 | Runed Marble                               | blockMarble,stoneMarble                                                                   |     |
| astralsorcery:itemcraftingcomponent             |        0 | Aquamarine                                 | gemAquamarine                                                                             |     |
| astralsorcery:itemcraftingcomponent             |        1 | Starmetal Ingot                            | ingotAstralStarmetal                                                                      |     |
| astralsorcery:itemcraftingcomponent             |        2 | Stardust                                   | dustAstralStarmetal                                                                       |     |
| biomesoplenty:ambrosia                          |        0 | Ambrosia                                   | foodAmbrosia                                                                              |     |
| biomesoplenty:bamboo                            |        0 | Bamboo                                     | stickWood                                                                                 |     |
| biomesoplenty:black_dye                         |        0 | Black Dye                                  | dyeBlack                                                                                  |     |
| biomesoplenty:blue_dye                          |        0 | Blue Dye                                   | dyeBlue                                                                                   |     |
| biomesoplenty:brown_dye                         |        0 | Brown Dye                                  | dyeBrown                                                                                  |     |
| biomesoplenty:cherry_fence                      |        0 | Cherry Fence                               | fenceWood                                                                                 |     |
| biomesoplenty:cherry_fence_gate                 |        0 | Cherry Fence Gate                          | fenceGateWood                                                                             |     |
| biomesoplenty:cherry_stairs                     |        0 | Cherry Wood Stairs                         | stairWood                                                                                 |     |
| biomesoplenty:dirt                              |        0 | Loamy Dirt                                 | dirt                                                                                      |     |
| biomesoplenty:double_plant                      |        0 | Flax                                       | plantFlax                                                                                 |     |
| biomesoplenty:double_plant                      |        1 | Tall Cattail                               | plantCattail                                                                              |     |
| biomesoplenty:ebony_fence                       |        0 | Ebony Fence                                | fenceWood                                                                                 |     |
| biomesoplenty:ebony_fence_gate                  |        0 | Ebony Fence Gate                           | fenceGateWood                                                                             |     |
| biomesoplenty:ebony_stairs                      |        0 | Ebony Wood Stairs                          | stairWood                                                                                 |     |
| biomesoplenty:ethereal_fence                    |        0 | Ethereal Fence                             | fenceWood                                                                                 |     |
| biomesoplenty:ethereal_fence_gate               |        0 | Ethereal Fence Gate                        | fenceGateWood                                                                             |     |
| biomesoplenty:ethereal_stairs                   |        0 | Ethereal Wood Stairs                       | stairWood                                                                                 |     |
| biomesoplenty:eucalyptus_fence                  |        0 | Eucalyptus Fence                           | fenceWood                                                                                 |     |
| biomesoplenty:eucalyptus_fence_gate             |        0 | Eucalyptus Fence Gate                      | fenceGateWood                                                                             |     |
| biomesoplenty:eucalyptus_stairs                 |        0 | Eucalyptus Wood Stairs                     | stairWood                                                                                 |     |
| biomesoplenty:filled_honeycomb                  |        0 | Filled Honeycomb                           | foodFilledhoneycomb                                                                       |     |
| biomesoplenty:fir_fence                         |        0 | Fir Fence                                  | fenceWood                                                                                 |     |
| biomesoplenty:fir_fence_gate                    |        0 | Fir Fence Gate                             | fenceGateWood                                                                             |     |
| biomesoplenty:fir_stairs                        |        0 | Fir Wood Stairs                            | stairWood                                                                                 |     |
| biomesoplenty:flesh                             |        0 | Flesh                                      | blockMeatRaw                                                                              |     |
| biomesoplenty:flower_0                          |        0 | Clover                                     | flowerClover                                                                              |     |
| biomesoplenty:flower_0                          |        1 | Swampflower                                | flowerSwampflower                                                                         |     |
| biomesoplenty:flower_0                          |       10 | Enderlotus                                 | flowerEnderlotus                                                                          |     |
| biomesoplenty:flower_0                          |       11 | Bromeliad                                  | flowerBromeliad                                                                           |     |
| biomesoplenty:flower_0                          |       12 | Wilted Lily                                | flowerWiltedLily                                                                          |     |
| biomesoplenty:flower_0                          |       13 | Pink Hibiscus                              | flowerPinkHibiscus                                                                        |     |
| biomesoplenty:flower_0                          |       14 | Lily of the Valley                         | flowerLilyOfTheValley                                                                     |     |
| biomesoplenty:flower_0                          |       15 | Burning Blossom                            | flowerBurningBlossom                                                                      |     |
| biomesoplenty:flower_0                          |        2 | Deathbloom                                 | flowerDeathbloom                                                                          |     |
| biomesoplenty:flower_0                          |        3 | Glowflower                                 | flowerGlowflower                                                                          |     |
| biomesoplenty:flower_0                          |        4 | Blue Hydrangea                             | flowerBlueHydrangea                                                                       |     |
| biomesoplenty:flower_0                          |        5 | Orange Cosmos                              | flowerOrangeCosmos                                                                        |     |
| biomesoplenty:flower_0                          |        6 | Pink Dafodil                               | flowerPinkDaffodil                                                                        |     |
| biomesoplenty:flower_0                          |        7 | Wildflower                                 | flowerWildflower                                                                          |     |
| biomesoplenty:flower_0                          |        8 | Violet                                     | flowerViolet                                                                              |     |
| biomesoplenty:flower_0                          |        9 | White Anemone                              | flowerWhiteAnemone                                                                        |     |
| biomesoplenty:flower_1                          |        0 | Lavender                                   | flowerLavender                                                                            |     |
| biomesoplenty:flower_1                          |        1 | Goldenrod                                  | flowerGoldenrod                                                                           |     |
| biomesoplenty:flower_1                          |        2 | Bluebells                                  | flowerBluebells                                                                           |     |
| biomesoplenty:flower_1                          |        3 | Miner's Delight                            | flowerMinersDelight                                                                       |     |
| biomesoplenty:flower_1                          |        4 | Icy Iris                                   | flowerIcyIris                                                                             |     |
| biomesoplenty:flower_1                          |        5 | Rose                                       | flowerRose                                                                                |     |
| biomesoplenty:gem                               |        0 | Ender Amethyst                             | gemAmethyst                                                                               |     |
| biomesoplenty:gem                               |        1 | Ruby                                       | gemRuby                                                                                   |     |
| biomesoplenty:gem                               |        2 | Peridot                                    | gemPeridot                                                                                |     |
| biomesoplenty:gem                               |        3 | Topaz                                      | gemTopaz                                                                                  |     |
| biomesoplenty:gem                               |        4 | Tanzanite                                  | gemTanzanite                                                                              |     |
| biomesoplenty:gem                               |        5 | Malachite                                  | gemMalachite                                                                              |     |
| biomesoplenty:gem                               |        6 | Sapphire                                   | gemSapphire                                                                               |     |
| biomesoplenty:gem                               |        7 | Amber                                      | gemAmber                                                                                  |     |
| biomesoplenty:gem_ore                           |        0 | Ender Amethyst Ore                         | oreAmethyst                                                                               |     |
| biomesoplenty:gem_ore                           |        1 | Ruby Ore                                   | oreRuby                                                                                   |     |
| biomesoplenty:gem_ore                           |        2 | Peridot Ore                                | orePeridot                                                                                |     |
| biomesoplenty:gem_ore                           |        3 | Topaz Ore                                  | oreTopaz                                                                                  |     |
| biomesoplenty:gem_ore                           |        4 | Tanzanite Ore                              | oreTanzanite                                                                              |     |
| biomesoplenty:gem_ore                           |        5 | Malachite Ore                              | oreMalachite                                                                              |     |
| biomesoplenty:gem_ore                           |        6 | Sapphire Ore                               | oreSapphire                                                                               |     |
| biomesoplenty:gem_ore                           |        7 | Amber Ore                                  | oreAmber                                                                                  |     |
| biomesoplenty:grass                             |        0 | Spectral Moss                              | grass                                                                                     |     |
| biomesoplenty:green_dye                         |        0 | Green Dye                                  | dyeGreen                                                                                  |     |
| biomesoplenty:hellbark_fence                    |        0 | Hellbark Fence                             | fenceWood                                                                                 |     |
| biomesoplenty:hellbark_fence_gate               |        0 | Hellbark Fence Gate                        | fenceGateWood                                                                             |     |
| biomesoplenty:hellbark_stairs                   |        0 | Hellbark Wood Stairs                       | stairWood                                                                                 |     |
| biomesoplenty:jacaranda_fence                   |        0 | Jacaranda Fence                            | fenceWood                                                                                 |     |
| biomesoplenty:jacaranda_fence_gate              |        0 | Jacaranda Fence Gate                       | fenceGateWood                                                                             |     |
| biomesoplenty:jacaranda_stairs                  |        0 | Jacaranda Wood Stairs                      | stairWood                                                                                 |     |
| biomesoplenty:leaves_0                          |       10 | Bamboo Leaves                              | treeLeaves                                                                                |     |
| biomesoplenty:leaves_0                          |       11 | Magic Leaves                               | treeLeaves                                                                                |     |
| biomesoplenty:leaves_0                          |        8 | Yellow Autumn Leaves                       | treeLeaves                                                                                |     |
| biomesoplenty:leaves_0                          |        9 | Orange Autumn Leaves                       | treeLeaves                                                                                |     |
| biomesoplenty:leaves_1                          |       10 | Fir Leaves                                 | treeLeaves                                                                                |     |
| biomesoplenty:leaves_1                          |       11 | Ethereal Leaves                            | treeLeaves                                                                                |     |
| biomesoplenty:leaves_1                          |        8 | Umbran Leaves                              | treeLeaves                                                                                |     |
| biomesoplenty:leaves_1                          |        9 | Dead Leaves                                | treeLeaves                                                                                |     |
| biomesoplenty:leaves_2                          |       10 | White Cherry Leaves                        | treeLeaves                                                                                |     |
| biomesoplenty:leaves_2                          |       11 | Maple Leaves                               | treeLeaves                                                                                |     |
| biomesoplenty:leaves_2                          |        8 | Origin Leaves                              | treeLeaves                                                                                |     |
| biomesoplenty:leaves_2                          |        9 | Pink Cherry Leaves                         | treeLeaves                                                                                |     |
| biomesoplenty:leaves_3                          |       10 | Jacaranda Leaves                           | treeLeaves                                                                                |     |
| biomesoplenty:leaves_3                          |       11 | Sacred Oak Leaves                          | treeLeaves                                                                                |     |
| biomesoplenty:leaves_3                          |        8 | Hellbark Leaves                            | treeLeaves                                                                                |     |
| biomesoplenty:leaves_3                          |        9 | Flowering Oak Leaves                       | treeLeaves                                                                                |     |
| biomesoplenty:leaves_4                          |       10 | Redwood Leaves                             | treeLeaves                                                                                |     |
| biomesoplenty:leaves_4                          |       11 | Willow Leaves                              | treeLeaves                                                                                |     |
| biomesoplenty:leaves_4                          |        8 | Mangrove Leaves                            | treeLeaves                                                                                |     |
| biomesoplenty:leaves_4                          |        9 | Palm Leaves                                | treeLeaves                                                                                |     |
| biomesoplenty:leaves_5                          |       10 | Ebony Leaves                               | treeLeaves                                                                                |     |
| biomesoplenty:leaves_5                          |       11 | Eucalyptus Leaves                          | treeLeaves                                                                                |     |
| biomesoplenty:leaves_5                          |        8 | Pine Leaves                                | treeLeaves                                                                                |     |
| biomesoplenty:leaves_5                          |        9 | Mahogany Leaves                            | treeLeaves                                                                                |     |
| biomesoplenty:leaves_6                          |        8 | Giant Red Flower Petal                     | treeLeaves                                                                                |     |
| biomesoplenty:leaves_6                          |        9 | Giant Yellow Flower Petal                  | treeLeaves                                                                                |     |
| biomesoplenty:log_0                             |        4 | Sacred Oak Wood                            | logWood                                                                                   |     |
| biomesoplenty:log_0                             |        5 | Cherry Wood                                | logWood                                                                                   |     |
| biomesoplenty:log_0                             |        6 | Umbran Wood                                | logWood                                                                                   |     |
| biomesoplenty:log_0                             |        7 | Fir Wood                                   | logWood                                                                                   |     |
| biomesoplenty:log_1                             |        4 | Ethereal Wood                              | logWood                                                                                   |     |
| biomesoplenty:log_1                             |        5 | Magic Wood                                 | logWood                                                                                   |     |
| biomesoplenty:log_1                             |        6 | Mangrove Wood                              | logWood                                                                                   |     |
| biomesoplenty:log_1                             |        7 | Palm Wood                                  | logWood                                                                                   |     |
| biomesoplenty:log_2                             |        4 | Redwood Wood                               | logWood                                                                                   |     |
| biomesoplenty:log_2                             |        5 | Willow Wood                                | logWood                                                                                   |     |
| biomesoplenty:log_2                             |        6 | Pine Wood                                  | logWood                                                                                   |     |
| biomesoplenty:log_2                             |        7 | Hellbark Wood                              | logWood                                                                                   |     |
| biomesoplenty:log_3                             |        4 | Jacaranda Wood                             | logWood                                                                                   |     |
| biomesoplenty:log_3                             |        5 | Mahogany Wood                              | logWood                                                                                   |     |
| biomesoplenty:log_3                             |        6 | Ebony Wood                                 | logWood                                                                                   |     |
| biomesoplenty:log_3                             |        7 | Eucalyptus Wood                            | logWood                                                                                   |     |
| biomesoplenty:log_4                             |        4 | Giant Flower Stem                          | logWood                                                                                   |     |
| biomesoplenty:log_4                             |        5 | Dead Wood                                  | logWood                                                                                   |     |
| biomesoplenty:magic_fence                       |        0 | Magic Fence                                | fenceWood                                                                                 |     |
| biomesoplenty:magic_fence_gate                  |        0 | Magic Fence Gate                           | fenceGateWood                                                                             |     |
| biomesoplenty:magic_stairs                      |        0 | Magic Wood Stairs                          | stairWood                                                                                 |     |
| biomesoplenty:mahogany_fence                    |        0 | Mahogany Fence                             | fenceWood                                                                                 |     |
| biomesoplenty:mahogany_fence_gate               |        0 | Mahogany Fence Gate                        | fenceGateWood                                                                             |     |
| biomesoplenty:mahogany_stairs                   |        0 | Mahogany Wood Stairs                       | stairWood                                                                                 |     |
| biomesoplenty:mangrove_fence                    |        0 | Mangrove Fence                             | fenceWood                                                                                 |     |
| biomesoplenty:mangrove_fence_gate               |        0 | Mangrove Fence Gate                        | fenceGateWood                                                                             |     |
| biomesoplenty:mangrove_stairs                   |        0 | Mangrove Wood Stairs                       | stairWood                                                                                 |     |
| biomesoplenty:mud                               |        0 | Mud                                        | blockMud                                                                                  |     |
| biomesoplenty:mudball                           |        0 | Mud Ball                                   | ballMud                                                                                   |     |
| biomesoplenty:palm_fence                        |        0 | Palm Fence                                 | fenceWood                                                                                 |     |
| biomesoplenty:palm_fence_gate                   |        0 | Palm Fence Gate                            | fenceGateWood                                                                             |     |
| biomesoplenty:palm_stairs                       |        0 | Palm Wood Stairs                           | stairWood                                                                                 |     |
| biomesoplenty:peach                             |        0 | Peach                                      | cropPeach,listAllfruit                                                                    |     |
| biomesoplenty:pear                              |        0 | Pear                                       | cropPear,listAllfruit                                                                     |     |
| biomesoplenty:persimmon                         |        0 | Persimmon                                  | cropPersimmon,listAllfruit                                                                |     |
| biomesoplenty:pine_fence                        |        0 | Pine Fence                                 | fenceWood                                                                                 |     |
| biomesoplenty:pine_fence_gate                   |        0 | Pine Fence Gate                            | fenceGateWood                                                                             |     |
| biomesoplenty:pine_stairs                       |        0 | Pine Wood Stairs                           | stairWood                                                                                 |     |
| biomesoplenty:planks_0                          |        0 | Sacred Oak Wood Planks                     | plankWood                                                                                 |     |
| biomesoplenty:planks_0                          |        1 | Cherry Wood Planks                         | plankWood                                                                                 |     |
| biomesoplenty:planks_0                          |       10 | Pine Wood Planks                           | plankWood                                                                                 |     |
| biomesoplenty:planks_0                          |       11 | Hellbark Wood Planks                       | plankWood                                                                                 |     |
| biomesoplenty:planks_0                          |       12 | Jacaranda Wood Planks                      | plankWood                                                                                 |     |
| biomesoplenty:planks_0                          |       13 | Mahogany Wood Planks                       | plankWood                                                                                 |     |
| biomesoplenty:planks_0                          |       14 | Ebony Wood Planks                          | plankWood                                                                                 |     |
| biomesoplenty:planks_0                          |       15 | Eucalyptus Wood Planks                     | plankWood                                                                                 |     |
| biomesoplenty:planks_0                          |        2 | Umbran Wood Planks                         | plankWood                                                                                 |     |
| biomesoplenty:planks_0                          |        3 | Fir Wood Planks                            | plankWood                                                                                 |     |
| biomesoplenty:planks_0                          |        4 | Ethereal Wood Planks                       | plankWood                                                                                 |     |
| biomesoplenty:planks_0                          |        5 | Magic Wood Planks                          | plankWood                                                                                 |     |
| biomesoplenty:planks_0                          |        6 | Mangrove Wood Planks                       | plankWood                                                                                 |     |
| biomesoplenty:planks_0                          |        7 | Palm Wood Planks                           | plankWood                                                                                 |     |
| biomesoplenty:planks_0                          |        8 | Redwood Wood Planks                        | plankWood                                                                                 |     |
| biomesoplenty:planks_0                          |        9 | Willow Wood Planks                         | plankWood                                                                                 |     |
| biomesoplenty:plant_0                           |        0 | Short Grass                                | plantShortgrass                                                                           |     |
| biomesoplenty:plant_0                           |        1 | Medium Grass                               | plantMediumgrass                                                                          |     |
| biomesoplenty:plant_0                           |       10 | Clover Patch                               | plantCloverpatch                                                                          |     |
| biomesoplenty:plant_0                           |       11 | Leaf Pile                                  | plantLeafpile                                                                             |     |
| biomesoplenty:plant_0                           |       12 | Dead Leaf Pile                             | plantDeadleafpile                                                                         |     |
| biomesoplenty:plant_0                           |       13 | Dead Grass                                 | plantDeadgrass                                                                            |     |
| biomesoplenty:plant_0                           |       14 | Desert Grass                               | plantDesertgrass                                                                          |     |
| biomesoplenty:plant_0                           |       15 | Desert Sprouts                             | plantDesertsprouts                                                                        |     |
| biomesoplenty:plant_0                           |        2 | Bush                                       | plantBush                                                                                 |     |
| biomesoplenty:plant_0                           |        3 | Sprout                                     | plantSprout                                                                               |     |
| biomesoplenty:plant_0                           |        4 | Poison Ivy                                 | plantPoisonivy                                                                            |     |
| biomesoplenty:plant_0                           |        5 | Berry Bush                                 | plantBerrybush                                                                            |     |
| biomesoplenty:plant_0                           |        6 | Shrub                                      | plantShrub                                                                                |     |
| biomesoplenty:plant_0                           |        7 | Wheat Grass                                | plantWheatgrass                                                                           |     |
| biomesoplenty:plant_0                           |        8 | Damp Grass                                 | plantDampgrass                                                                            |     |
| biomesoplenty:plant_0                           |        9 | Koru                                       | plantKoru                                                                                 |     |
| biomesoplenty:plant_1                           |        0 | Dune Grass                                 | plantDunegrass                                                                            |     |
