+------------------------------------+-------------------------------------------------+----------+--------------------------------------------+-----+
| OreDict Key                        | Registry name                                   | Meta/dmg | Display name                               | NBT |
| blockAquamarine                    | silentgems:gemblock                             |        8 | Aquamarine Block                           |     |
| blockAquamarineSuper               | silentgems:gemblocksuper                        |        8 | Supercharged Aquamarine Block              |     |
| blockBeryl                         | silentgems:gemblock                             |        6 | Beryl Block                                |     |
| blockBerylSuper                    | silentgems:gemblocksuper                        |        6 | Supercharged Beryl Block                   |     |
| blockBeryllium                     | nuclearcraft:ingot_block                        |        9 | Beryllium Block                            |     |
| blockBlackDiamond                  | silentgems:gemblockdark                         |       14 | Black Diamond Block                        |     |
| blockBlackDiamondSuper             | silentgems:gemblocksuperdark                    |       14 | Supercharged Black Diamond Block           |     |
| blockBlueTopaz                     | silentgems:gemblockdark                         |        9 | Blue Topaz Block                           |     |
| blockBlueTopazSuper                | silentgems:gemblocksuperdark                    |        9 | Supercharged Blue Topaz Block              |     |
| blockBoron                         | nuclearcraft:ingot_block                        |        5 | Boron Block                                |     |
| blockBronze                        | embers:block_bronze                             |        0 | Bronze Block                               |     |
| blockBronze                        | thermalfoundation:storage_alloy                 |        3 | Bronze Block                               |     |
| blockBurnLimestone                 | magneticraft:burnt_limestone                    |        0 | Burnt Limestone                            |     |
| blockCacti                         | essentialcraft:cacti                            |    32767 | (WILDCARD)                                 |     |
| blockCactus                        | essentialcraft:cacti                            |    32767 | (WILDCARD)                                 |     |
| blockCactus                        | minecraft:cactus                                |        0 | Cactus                                     |     |
| blockCarnelian                     | silentgems:gemblockdark                         |        0 | Carnelian Block                            |     |
| blockCarnelianSuper                | silentgems:gemblocksuperdark                    |        0 | Supercharged Carnelian Block               |     |
| blockCatsEye                       | silentgems:gemblocklight                        |        3 | Cat's Eye Block                            |     |
| blockCatsEyeSuper                  | silentgems:gemblocksuperlight                   |        3 | Supercharged Cat's Eye Block               |     |
| blockCharcoal                      | zettaindustries:charcoalblock                   |        0 | Block of Charcoal                          |     |
| blockChest                         | essentialcraft:chest                            |    32767 | (WILDCARD)                                 |     |
| blockChrysoprase                   | silentgems:gemblocklight                        |        6 | Chrysoprase Block                          |     |
| blockChrysopraseSuper              | silentgems:gemblocksuperlight                   |        6 | Supercharged Chrysoprase Block             |     |
| blockCitrine                       | silentgems:gemblockdark                         |        2 | Citrine Block                              |     |
| blockCitrineSuper                  | silentgems:gemblocksuperdark                    |        2 | Supercharged Citrine Block                 |     |
| blockCoal                          | minecraft:coal_block                            |        0 | Block of Coal                              |     |
| blockCoalCoke                      | chisel:block_coal_coke                          |        0 | Block of Coal Coke                         |     |
| blockCoalCoke                      | chisel:block_coal_coke                          |        1 | Block of Coal Coke                         |     |
| blockCoalCoke                      | chisel:block_coal_coke                          |       10 | Block of Coal Coke                         |     |
| blockCoalCoke                      | chisel:block_coal_coke                          |       11 | Block of Coal Coke                         |     |
| blockCoalCoke                      | chisel:block_coal_coke                          |       12 | Block of Coal Coke                         |     |
| blockCoalCoke                      | chisel:block_coal_coke                          |       13 | Block of Coal Coke                         |     |
| blockCoalCoke                      | chisel:block_coal_coke                          |       14 | Block of Coal Coke                         |     |
| blockCoalCoke                      | chisel:block_coal_coke                          |       15 | Block of Coal Coke                         |     |
| blockCoalCoke                      | chisel:block_coal_coke                          |        2 | Block of Coal Coke                         |     |
| blockCoalCoke                      | chisel:block_coal_coke                          |        3 | Block of Coal Coke                         |     |
| blockCoalCoke                      | chisel:block_coal_coke                          |        4 | Block of Coal Coke                         |     |
| blockCoalCoke                      | chisel:block_coal_coke                          |        5 | Block of Coal Coke                         |     |
| blockCoalCoke                      | chisel:block_coal_coke                          |        6 | Block of Coal Coke                         |     |
| blockCoalCoke                      | chisel:block_coal_coke                          |        7 | Block of Coal Coke                         |     |
| blockCoalCoke                      | chisel:block_coal_coke                          |        8 | Block of Coal Coke                         |     |
| blockCoalCoke                      | chisel:block_coal_coke                          |        9 | Block of Coal Coke                         |     |
| blockCoalCoke                      | chisel:block_coal_coke1                         |        0 | Block of Coal Coke                         |     |
| blockCoalCoke                      | chisel:block_coal_coke1                         |        1 | Block of Coal Coke                         |     |
| blockCoalCoke                      | chisel:block_coal_coke1                         |       10 | Block of Coal Coke                         |     |
| blockCoalCoke                      | chisel:block_coal_coke1                         |       11 | Block of Coal Coke                         |     |
| blockCoalCoke                      | chisel:block_coal_coke1                         |       12 | Block of Coal Coke                         |     |
| blockCoalCoke                      | chisel:block_coal_coke1                         |       13 | Block of Coal Coke                         |     |
| blockCoalCoke                      | chisel:block_coal_coke1                         |       14 | Block of Coal Coke                         |     |
| blockCoalCoke                      | chisel:block_coal_coke1                         |       15 | Block of Coal Coke                         |     |
| blockCoalCoke                      | chisel:block_coal_coke1                         |        2 | Block of Coal Coke                         |     |
| blockCoalCoke                      | chisel:block_coal_coke1                         |        3 | Block of Coal Coke                         |     |
| blockCoalCoke                      | chisel:block_coal_coke1                         |        4 | Block of Coal Coke                         |     |
| blockCoalCoke                      | chisel:block_coal_coke1                         |        5 | Block of Coal Coke                         |     |
| blockCoalCoke                      | chisel:block_coal_coke1                         |        6 | Block of Coal Coke                         |     |
| blockCoalCoke                      | chisel:block_coal_coke1                         |        7 | Block of Coal Coke                         |     |
| blockCoalCoke                      | chisel:block_coal_coke1                         |        8 | Block of Coal Coke                         |     |
| blockCoalCoke                      | chisel:block_coal_coke1                         |        9 | Block of Coal Coke                         |     |
| blockCoalCoke                      | chisel:block_coal_coke2                         |        0 | Block of Coal Coke                         |     |
| blockCoalCoke                      | chisel:block_coal_coke2                         |        1 | Block of Coal Coke                         |     |
| blockCoil                          | libvulpes:coil0                                 |       10 | Iridium Coil                               |     |
| blockCoil                          | libvulpes:coil0                                 |        2 | Gold Coil                                  |     |
| blockCoil                          | libvulpes:coil0                                 |        4 | Copper Coil                                |     |
| blockCoil                          | libvulpes:coil0                                 |        7 | Titanium Coil                              |     |
| blockCoil                          | libvulpes:coil0                                 |        9 | Aluminum Coil                              |     |
| blockConcrete                      | chisel:concrete_black                           |        0 | Black Concrete                             |     |
| blockConcrete                      | chisel:concrete_black                           |        1 | Black Concrete                             |     |
| blockConcrete                      | chisel:concrete_black                           |       10 | Black Concrete                             |     |
| blockConcrete                      | chisel:concrete_black                           |       11 | Black Concrete                             |     |
| blockConcrete                      | chisel:concrete_black                           |       12 | Black Concrete                             |     |
| blockConcrete                      | chisel:concrete_black                           |       13 | Black Concrete                             |     |
| blockConcrete                      | chisel:concrete_black                           |       14 | Black Concrete                             |     |
| blockConcrete                      | chisel:concrete_black                           |       15 | Black Concrete                             |     |
| blockConcrete                      | chisel:concrete_black                           |        2 | Black Concrete                             |     |
| blockConcrete                      | chisel:concrete_black                           |        3 | Black Concrete                             |     |
| blockConcrete                      | chisel:concrete_black                           |        4 | Black Concrete                             |     |
| blockConcrete                      | chisel:concrete_black                           |        5 | Black Concrete                             |     |
| blockConcrete                      | chisel:concrete_black                           |        6 | Black Concrete                             |     |
| blockConcrete                      | chisel:concrete_black                           |        7 | Black Concrete                             |     |
| blockConcrete                      | chisel:concrete_black                           |        8 | Black Concrete                             |     |
| blockConcrete                      | chisel:concrete_black                           |        9 | Black Concrete                             |     |
| blockConcrete                      | chisel:concrete_black1                          |        0 | Black Concrete                             |     |
| blockConcrete                      | chisel:concrete_black1                          |        1 | Black Concrete                             |     |
| blockConcrete                      | chisel:concrete_black1                          |       10 | Black Concrete                             |     |
| blockConcrete                      | chisel:concrete_black1                          |       11 | Black Concrete                             |     |
| blockConcrete                      | chisel:concrete_black1                          |       12 | Black Concrete                             |     |
| blockConcrete                      | chisel:concrete_black1                          |       13 | Black Concrete                             |     |
| blockConcrete                      | chisel:concrete_black1                          |       14 | Black Concrete                             |     |
| blockConcrete                      | chisel:concrete_black1                          |       15 | Black Concrete                             |     |
| blockConcrete                      | chisel:concrete_black1                          |        2 | Black Concrete                             |     |
| blockConcrete                      | chisel:concrete_black1                          |        3 | Black Concrete                             |     |
| blockConcrete                      | chisel:concrete_black1                          |        4 | Black Concrete                             |     |
| blockConcrete                      | chisel:concrete_black1                          |        5 | Black Concrete                             |     |
| blockConcrete                      | chisel:concrete_black1                          |        6 | Black Concrete                             |     |
| blockConcrete                      | chisel:concrete_black1                          |        7 | Black Concrete                             |     |
| blockConcrete                      | chisel:concrete_black1                          |        8 | Black Concrete                             |     |
| blockConcrete                      | chisel:concrete_black1                          |        9 | Black Concrete                             |     |
| blockConcrete                      | chisel:concrete_black2                          |        0 | Black Concrete                             |     |
| blockConcrete                      | chisel:concrete_blue                            |        0 | Blue Concrete                              |     |
| blockConcrete                      | chisel:concrete_blue                            |        1 | Blue Concrete                              |     |
| blockConcrete                      | chisel:concrete_blue                            |       10 | Blue Concrete                              |     |
| blockConcrete                      | chisel:concrete_blue                            |       11 | Blue Concrete                              |     |
| blockConcrete                      | chisel:concrete_blue                            |       12 | Blue Concrete                              |     |
| blockConcrete                      | chisel:concrete_blue                            |       13 | Blue Concrete                              |     |
| blockConcrete                      | chisel:concrete_blue                            |       14 | Blue Concrete                              |     |
| blockConcrete                      | chisel:concrete_blue                            |       15 | Blue Concrete                              |     |
| blockConcrete                      | chisel:concrete_blue                            |        2 | Blue Concrete                              |     |
| blockConcrete                      | chisel:concrete_blue                            |        3 | Blue Concrete                              |     |
| blockConcrete                      | chisel:concrete_blue                            |        4 | Blue Concrete                              |     |
| blockConcrete                      | chisel:concrete_blue                            |        5 | Blue Concrete                              |     |
| blockConcrete                      | chisel:concrete_blue                            |        6 | Blue Concrete                              |     |
| blockConcrete                      | chisel:concrete_blue                            |        7 | Blue Concrete                              |     |
| blockConcrete                      | chisel:concrete_blue                            |        8 | Blue Concrete                              |     |
| blockConcrete                      | chisel:concrete_blue                            |        9 | Blue Concrete                              |     |
| blockConcrete                      | chisel:concrete_blue1                           |        0 | Blue Concrete                              |     |
| blockConcrete                      | chisel:concrete_blue1                           |        1 | Blue Concrete                              |     |
| blockConcrete                      | chisel:concrete_blue1                           |       10 | Blue Concrete                              |     |
| blockConcrete                      | chisel:concrete_blue1                           |       11 | Blue Concrete                              |     |
| blockConcrete                      | chisel:concrete_blue1                           |       12 | Blue Concrete                              |     |
| blockConcrete                      | chisel:concrete_blue1                           |       13 | Blue Concrete                              |     |
| blockConcrete                      | chisel:concrete_blue1                           |       14 | Blue Concrete                              |     |
| blockConcrete                      | chisel:concrete_blue1                           |       15 | Blue Concrete                              |     |
| blockConcrete                      | chisel:concrete_blue1                           |        2 | Blue Concrete                              |     |
| blockConcrete                      | chisel:concrete_blue1                           |        3 | Blue Concrete                              |     |
| blockConcrete                      | chisel:concrete_blue1                           |        4 | Blue Concrete                              |     |
| blockConcrete                      | chisel:concrete_blue1                           |        5 | Blue Concrete                              |     |
| blockConcrete                      | chisel:concrete_blue1                           |        6 | Blue Concrete                              |     |
| blockConcrete                      | chisel:concrete_blue1                           |        7 | Blue Concrete                              |     |
| blockConcrete                      | chisel:concrete_blue1                           |        8 | Blue Concrete                              |     |
| blockConcrete                      | chisel:concrete_blue1                           |        9 | Blue Concrete                              |     |
| blockConcrete                      | chisel:concrete_blue2                           |        0 | Blue Concrete                              |     |
| blockConcrete                      | chisel:concrete_brown                           |        0 | Brown Concrete                             |     |
| blockConcrete                      | chisel:concrete_brown                           |        1 | Brown Concrete                             |     |
| blockConcrete                      | chisel:concrete_brown                           |       10 | Brown Concrete                             |     |
| blockConcrete                      | chisel:concrete_brown                           |       11 | Brown Concrete                             |     |
| blockConcrete                      | chisel:concrete_brown                           |       12 | Brown Concrete                             |     |
| blockConcrete                      | chisel:concrete_brown                           |       13 | Brown Concrete                             |     |
| blockConcrete                      | chisel:concrete_brown                           |       14 | Brown Concrete                             |     |
| blockConcrete                      | chisel:concrete_brown                           |       15 | Brown Concrete                             |     |
| blockConcrete                      | chisel:concrete_brown                           |        2 | Brown Concrete                             |     |
| blockConcrete                      | chisel:concrete_brown                           |        3 | Brown Concrete                             |     |
| blockConcrete                      | chisel:concrete_brown                           |        4 | Brown Concrete                             |     |
| blockConcrete                      | chisel:concrete_brown                           |        5 | Brown Concrete                             |     |
| blockConcrete                      | chisel:concrete_brown                           |        6 | Brown Concrete                             |     |
| blockConcrete                      | chisel:concrete_brown                           |        7 | Brown Concrete                             |     |
| blockConcrete                      | chisel:concrete_brown                           |        8 | Brown Concrete                             |     |
| blockConcrete                      | chisel:concrete_brown                           |        9 | Brown Concrete                             |     |
| blockConcrete                      | chisel:concrete_brown1                          |        0 | Brown Concrete                             |     |
| blockConcrete                      | chisel:concrete_brown1                          |        1 | Brown Concrete                             |     |
| blockConcrete                      | chisel:concrete_brown1                          |       10 | Brown Concrete                             |     |
| blockConcrete                      | chisel:concrete_brown1                          |       11 | Brown Concrete                             |     |
| blockConcrete                      | chisel:concrete_brown1                          |       12 | Brown Concrete                             |     |
| blockConcrete                      | chisel:concrete_brown1                          |       13 | Brown Concrete                             |     |
| blockConcrete                      | chisel:concrete_brown1                          |       14 | Brown Concrete                             |     |
| blockConcrete                      | chisel:concrete_brown1                          |       15 | Brown Concrete                             |     |
| blockConcrete                      | chisel:concrete_brown1                          |        2 | Brown Concrete                             |     |
| blockConcrete                      | chisel:concrete_brown1                          |        3 | Brown Concrete                             |     |
| blockConcrete                      | chisel:concrete_brown1                          |        4 | Brown Concrete                             |     |
| blockConcrete                      | chisel:concrete_brown1                          |        5 | Brown Concrete                             |     |
| blockConcrete                      | chisel:concrete_brown1                          |        6 | Brown Concrete                             |     |
| blockConcrete                      | chisel:concrete_brown1                          |        7 | Brown Concrete                             |     |
| blockConcrete                      | chisel:concrete_brown1                          |        8 | Brown Concrete                             |     |
| blockConcrete                      | chisel:concrete_brown1                          |        9 | Brown Concrete                             |     |
| blockConcrete                      | chisel:concrete_brown2                          |        0 | Brown Concrete                             |     |
| blockConcrete                      | chisel:concrete_cyan                            |        0 | Cyan Concrete                              |     |
| blockConcrete                      | chisel:concrete_cyan                            |        1 | Cyan Concrete                              |     |
| blockConcrete                      | chisel:concrete_cyan                            |       10 | Cyan Concrete                              |     |
| blockConcrete                      | chisel:concrete_cyan                            |       11 | Cyan Concrete                              |     |
| blockConcrete                      | chisel:concrete_cyan                            |       12 | Cyan Concrete                              |     |
| blockConcrete                      | chisel:concrete_cyan                            |       13 | Cyan Concrete                              |     |
| blockConcrete                      | chisel:concrete_cyan                            |       14 | Cyan Concrete                              |     |
| blockConcrete                      | chisel:concrete_cyan                            |       15 | Cyan Concrete                              |     |
| blockConcrete                      | chisel:concrete_cyan                            |        2 | Cyan Concrete                              |     |
| blockConcrete                      | chisel:concrete_cyan                            |        3 | Cyan Concrete                              |     |
| blockConcrete                      | chisel:concrete_cyan                            |        4 | Cyan Concrete                              |     |
| blockConcrete                      | chisel:concrete_cyan                            |        5 | Cyan Concrete                              |     |
| blockConcrete                      | chisel:concrete_cyan                            |        6 | Cyan Concrete                              |     |
| blockConcrete                      | chisel:concrete_cyan                            |        7 | Cyan Concrete                              |     |
| blockConcrete                      | chisel:concrete_cyan                            |        8 | Cyan Concrete                              |     |
| blockConcrete                      | chisel:concrete_cyan                            |        9 | Cyan Concrete                              |     |
| blockConcrete                      | chisel:concrete_cyan1                           |        0 | Cyan Concrete                              |     |
| blockConcrete                      | chisel:concrete_cyan1                           |        1 | Cyan Concrete                              |     |
| blockConcrete                      | chisel:concrete_cyan1                           |       10 | Cyan Concrete                              |     |
| blockConcrete                      | chisel:concrete_cyan1                           |       11 | Cyan Concrete                              |     |
| blockConcrete                      | chisel:concrete_cyan1                           |       12 | Cyan Concrete                              |     |
| blockConcrete                      | chisel:concrete_cyan1                           |       13 | Cyan Concrete                              |     |
| blockConcrete                      | chisel:concrete_cyan1                           |       14 | Cyan Concrete                              |     |
| blockConcrete                      | chisel:concrete_cyan1                           |       15 | Cyan Concrete                              |     |
| blockConcrete                      | chisel:concrete_cyan1                           |        2 | Cyan Concrete                              |     |
| blockConcrete                      | chisel:concrete_cyan1                           |        3 | Cyan Concrete                              |     |
| blockConcrete                      | chisel:concrete_cyan1                           |        4 | Cyan Concrete                              |     |
| blockConcrete                      | chisel:concrete_cyan1                           |        5 | Cyan Concrete                              |     |
| blockConcrete                      | chisel:concrete_cyan1                           |        6 | Cyan Concrete                              |     |
| blockConcrete                      | chisel:concrete_cyan1                           |        7 | Cyan Concrete                              |     |
| blockConcrete                      | chisel:concrete_cyan1                           |        8 | Cyan Concrete                              |     |
| blockConcrete                      | chisel:concrete_cyan1                           |        9 | Cyan Concrete                              |     |
| blockConcrete                      | chisel:concrete_cyan2                           |        0 | Cyan Concrete                              |     |
| blockConcrete                      | chisel:concrete_gray                            |        0 | Gray Concrete                              |     |
| blockConcrete                      | chisel:concrete_gray                            |        1 | Gray Concrete                              |     |
| blockConcrete                      | chisel:concrete_gray                            |       10 | Gray Concrete                              |     |
| blockConcrete                      | chisel:concrete_gray                            |       11 | Gray Concrete                              |     |
| blockConcrete                      | chisel:concrete_gray                            |       12 | Gray Concrete                              |     |
| blockConcrete                      | chisel:concrete_gray                            |       13 | Gray Concrete                              |     |
| blockConcrete                      | chisel:concrete_gray                            |       14 | Gray Concrete                              |     |
| blockConcrete                      | chisel:concrete_gray                            |       15 | Gray Concrete                              |     |
| blockConcrete                      | chisel:concrete_gray                            |        2 | Gray Concrete                              |     |
| blockConcrete                      | chisel:concrete_gray                            |        3 | Gray Concrete                              |     |
| blockConcrete                      | chisel:concrete_gray                            |        4 | Gray Concrete                              |     |
| blockConcrete                      | chisel:concrete_gray                            |        5 | Gray Concrete                              |     |
| blockConcrete                      | chisel:concrete_gray                            |        6 | Gray Concrete                              |     |
| blockConcrete                      | chisel:concrete_gray                            |        7 | Gray Concrete                              |     |
| blockConcrete                      | chisel:concrete_gray                            |        8 | Gray Concrete                              |     |
| blockConcrete                      | chisel:concrete_gray                            |        9 | Gray Concrete                              |     |
| blockConcrete                      | chisel:concrete_gray1                           |        0 | Gray Concrete                              |     |
| blockConcrete                      | chisel:concrete_gray1                           |        1 | Gray Concrete                              |     |
| blockConcrete                      | chisel:concrete_gray1                           |       10 | Gray Concrete                              |     |
| blockConcrete                      | chisel:concrete_gray1                           |       11 | Gray Concrete                              |     |
| blockConcrete                      | chisel:concrete_gray1                           |       12 | Gray Concrete                              |     |
| blockConcrete                      | chisel:concrete_gray1                           |       13 | Gray Concrete                              |     |
| blockConcrete                      | chisel:concrete_gray1                           |       14 | Gray Concrete                              |     |
| blockConcrete                      | chisel:concrete_gray1                           |       15 | Gray Concrete                              |     |
| blockConcrete                      | chisel:concrete_gray1                           |        2 | Gray Concrete                              |     |
| blockConcrete                      | chisel:concrete_gray1                           |        3 | Gray Concrete                              |     |
| blockConcrete                      | chisel:concrete_gray1                           |        4 | Gray Concrete                              |     |
| blockConcrete                      | chisel:concrete_gray1                           |        5 | Gray Concrete                              |     |
| blockConcrete                      | chisel:concrete_gray1                           |        6 | Gray Concrete                              |     |
| blockConcrete                      | chisel:concrete_gray1                           |        7 | Gray Concrete                              |     |
| blockConcrete                      | chisel:concrete_gray1                           |        8 | Gray Concrete                              |     |
| blockConcrete                      | chisel:concrete_gray1                           |        9 | Gray Concrete                              |     |
| blockConcrete                      | chisel:concrete_gray2                           |        0 | Gray Concrete                              |     |
| blockConcrete                      | chisel:concrete_green                           |        0 | Green Concrete                             |     |
| blockConcrete                      | chisel:concrete_green                           |        1 | Green Concrete                             |     |
| blockConcrete                      | chisel:concrete_green                           |       10 | Green Concrete                             |     |
| blockConcrete                      | chisel:concrete_green                           |       11 | Green Concrete                             |     |
| blockConcrete                      | chisel:concrete_green                           |       12 | Green Concrete                             |     |
| blockConcrete                      | chisel:concrete_green                           |       13 | Green Concrete                             |     |
| blockConcrete                      | chisel:concrete_green                           |       14 | Green Concrete                             |     |
| blockConcrete                      | chisel:concrete_green                           |       15 | Green Concrete                             |     |
| blockConcrete                      | chisel:concrete_green                           |        2 | Green Concrete                             |     |
| blockConcrete                      | chisel:concrete_green                           |        3 | Green Concrete                             |     |
| blockConcrete                      | chisel:concrete_green                           |        4 | Green Concrete                             |     |
| blockConcrete                      | chisel:concrete_green                           |        5 | Green Concrete                             |     |
| blockConcrete                      | chisel:concrete_green                           |        6 | Green Concrete                             |     |
| blockConcrete                      | chisel:concrete_green                           |        7 | Green Concrete                             |     |
| blockConcrete                      | chisel:concrete_green                           |        8 | Green Concrete                             |     |
| blockConcrete                      | chisel:concrete_green                           |        9 | Green Concrete                             |     |
| blockConcrete                      | chisel:concrete_green1                          |        0 | Green Concrete                             |     |
| blockConcrete                      | chisel:concrete_green1                          |        1 | Green Concrete                             |     |
| blockConcrete                      | chisel:concrete_green1                          |       10 | Green Concrete                             |     |
| blockConcrete                      | chisel:concrete_green1                          |       11 | Green Concrete                             |     |
| blockConcrete                      | chisel:concrete_green1                          |       12 | Green Concrete                             |     |
| blockConcrete                      | chisel:concrete_green1                          |       13 | Green Concrete                             |     |
| blockConcrete                      | chisel:concrete_green1                          |       14 | Green Concrete                             |     |
| blockConcrete                      | chisel:concrete_green1                          |       15 | Green Concrete                             |     |
| blockConcrete                      | chisel:concrete_green1                          |        2 | Green Concrete                             |     |
| blockConcrete                      | chisel:concrete_green1                          |        3 | Green Concrete                             |     |
| blockConcrete                      | chisel:concrete_green1                          |        4 | Green Concrete                             |     |
| blockConcrete                      | chisel:concrete_green1                          |        5 | Green Concrete                             |     |
| blockConcrete                      | chisel:concrete_green1                          |        6 | Green Concrete                             |     |
| blockConcrete                      | chisel:concrete_green1                          |        7 | Green Concrete                             |     |
| blockConcrete                      | chisel:concrete_green1                          |        8 | Green Concrete                             |     |
| blockConcrete                      | chisel:concrete_green1                          |        9 | Green Concrete                             |     |
| blockConcrete                      | chisel:concrete_green2                          |        0 | Green Concrete                             |     |
| blockConcrete                      | chisel:concrete_lightblue                       |        0 | Light Blue Concrete                        |     |
| blockConcrete                      | chisel:concrete_lightblue                       |        1 | Light Blue Concrete                        |     |
| blockConcrete                      | chisel:concrete_lightblue                       |       10 | Light Blue Concrete                        |     |
| blockConcrete                      | chisel:concrete_lightblue                       |       11 | Light Blue Concrete                        |     |
| blockConcrete                      | chisel:concrete_lightblue                       |       12 | Light Blue Concrete                        |     |
| blockConcrete                      | chisel:concrete_lightblue                       |       13 | Light Blue Concrete                        |     |
| blockConcrete                      | chisel:concrete_lightblue                       |       14 | Light Blue Concrete                        |     |
